ID_transacao,data,corredor,valor_enviado,taxa_de_cambio,fee_percent
1,2024-01-15 04:00:00,Portugal -> Moçambique,326.06,67.8894,0.0312
2,2024-08-11 10:00:00,Portugal -> Moçambique,965.24,68.1775,0.0449
3,2024-10-21 05:00:00,Reino Unido -> Quénia,634.96,157.314,0.0169
4,2024-01-02 06:00:00,EUA -> Brasil,149.98,5.0777,0.031
5,2024-09-13 23:00:00,EUA -> Brasil,416.13,5.248,0.03
6,2024-03-07 09:00:00,EUA -> Brasil,86.56,5.0349,0.0199
7,2024-09-29 13:00:00,Portugal -> Moçambique,620.56,68.7815,0.0268
8,2024-08-10 07:00:00,Portugal -> Moçambique,817.64,68.9339,0.0283
9,2024-12-30 23:00:00,EUA -> Brasil,394.17,5.1399,0.0183
10,2024-07-27 12:00:00,Reino Unido -> Quénia,217.33,155.3958,0.0186
11,2024-03-08 09:00:00,Portugal -> Moçambique,358.94,65.6207,0.0253
12,2024-02-26 01:00:00,Portugal -> Moçambique,568.63,68.1024,0.0437
13,2024-10-02 03:00:00,Portugal -> Moçambique,833.3,68.2996,0.0394
14,2024-12-13 22:00:00,Portugal -> Moçambique,304.85,65.9144,0.0281
15,2024-03-22 03:00:00,Reino Unido -> Quénia,282.32,155.5893,0.018
16,2024-04-12 13:00:00,EUA -> Brasil,519.46,5.2691,0.0161
17,2024-09-09 23:00:00,Portugal -> Moçambique,870.81,68.4646,0.0435
18,2024-12-25 13:00:00,EUA -> Brasil,376.93,5.4241,0.0161
19,2024-07-04 11:00:00,EUA -> Brasil,407.18,5.4556,0.0295
20,2024-12-26 04:00:00,Portugal -> Moçambique,324.08,68.3021,0.0295
21,2024-09-30 09:00:00,Reino Unido -> Quénia,910.01,150.6019,0.0127
22,2024-11-02 11:00:00,EUA -> Brasil,501.5,5.2485,0.0267
23,2024-05-11 19:00:00,Portugal -> Moçambique,992.08,65.9646,0.0427
24,2024-04-10 05:00:00,EUA -> Brasil,95.74,5.0257,0.0158
25,2024-04-01 18:00:00,Portugal -> Moçambique,186.54,68.2545,0.042
26,2024-07-08 17:00:00,Reino Unido -> Quénia,417.21,151.8497,0.0107
27,2024-05-30 08:00:00,Portugal -> Moçambique,324.77,67.6472,0.0353
28,2024-10-03 02:00:00,Portugal -> Moçambique,820.2,65.2883,0.0289
29,2024-12-01 09:00:00,EUA -> Brasil,864.38,5.1709,0.0336
30,2024-08-06 20:00:00,EUA -> Brasil,537.04,5.2325,0.02
31,2024-08-24 13:00:00,EUA -> Brasil,835.41,5.0327,0.0222
32,2024-12-21 21:00:00,Portugal -> Moçambique,482.22,67.4563,0.0285
33,2024-10-30 18:00:00,Portugal -> Moçambique,477.39,68.1814,0.0271
34,2024-04-06 19:00:00,EUA -> Brasil,559.28,5.2978,0.0186
35,2024-04-15 16:00:00,Reino Unido -> Quénia,113.74,156.9077,0.0122
36,2024-10-03 02:00:00,EUA -> Brasil,666.24,5.3157,0.0328
37,2024-04-29 18:00:00,Portugal -> Moçambique,782.01,69.9569,0.0378
38,2024-01-27 23:00:00,Portugal -> Moçambique,535.64,65.0452,0.0389
39,2024-09-29 19:00:00,EUA -> Brasil,573.75,5.3559,0.0224
40,2024-08-26 01:00:00,EUA -> Brasil,334.73,5.4204,0.0174
41,2024-02-17 12:00:00,Reino Unido -> Quénia,722.22,151.4742,0.0122
42,2024-01-29 10:00:00,Reino Unido -> Quénia,274.89,158.2953,0.0109
43,2024-05-18 18:00:00,Portugal -> Moçambique,127.01,66.8202,0.032
44,2024-01-25 02:00:00,Portugal -> Moçambique,986.38,66.4183,0.039
45,2024-07-16 08:00:00,Portugal -> Moçambique,781.2,65.4875,0.0447
46,2024-08-05 06:00:00,EUA -> Brasil,935.58,5.3031,0.0347
47,2024-02-26 09:00:00,EUA -> Brasil,283.1,5.1436,0.0279
48,2024-10-07 22:00:00,EUA -> Brasil,127.78,5.4523,0.0212
49,2024-01-08 04:00:00,Reino Unido -> Quénia,58.91,150.0765,0.015
50,2024-01-30 12:00:00,Reino Unido -> Quénia,334.31,151.7326,0.0144
51,2024-03-14 00:00:00,Portugal -> Moçambique,654.15,65.9632,0.0392
52,2024-11-09 15:00:00,Portugal -> Moçambique,530.92,65.9308,0.0303
53,2024-07-06 01:00:00,Reino Unido -> Quénia,527.61,150.3146,0.0176
54,2024-07-08 06:00:00,Portugal -> Moçambique,581.29,67.0011,0.0444
55,2024-06-11 07:00:00,Portugal -> Moçambique,457.23,67.3636,0.0427
56,2024-02-17 19:00:00,Reino Unido -> Quénia,923.05,152.9722,0.0117
57,2024-06-27 22:00:00,Reino Unido -> Quénia,869.38,157.7507,0.0103
58,2024-05-01 00:00:00,EUA -> Brasil,675.21,5.2647,0.031
59,2024-06-11 20:00:00,Reino Unido -> Quénia,708.84,158.0481,0.0112
60,2024-02-12 03:00:00,Reino Unido -> Quénia,441.0,156.168,0.0144
61,2024-06-11 01:00:00,Portugal -> Moçambique,816.86,68.6286,0.0361
62,2024-01-28 11:00:00,EUA -> Brasil,56.03,5.0721,0.0183
63,2024-05-20 11:00:00,Reino Unido -> Quénia,980.33,152.2514,0.0159
64,2024-07-26 02:00:00,Reino Unido -> Quénia,612.27,158.5805,0.0149
65,2024-06-22 16:00:00,Reino Unido -> Quénia,997.92,157.9782,0.0145
